MarketName,street,city,County,State,zip,x,y,Credit,WIC,WICcash,SFMNP,SNAP,has_website,Is market,Produce,Confectionary,Household,Dairy,Plants,Meat,Other,product_count,alt_pay_methods
18th Street Farmers Market,825 18th Street,Charleston ,Coles,Illinois,61920,-88.162239,39.490715,1,1,0,1,1,0,1,3.0,3.0,2.0,0.0,2.0,0.0,0.0,10.0,3
19/27 Community Farmers Market,NE 7th Ave,Chiefland,Levy,Florida,32626,-82.857872,29.484854,1,0,0,0,0,0,1,6.0,3.0,3.0,2.0,2.0,2.0,1.0,19.0,0
21 Acres Farm Market,13701 NE 171st Street,Woodinville,King,Washington,98072,-122.15699,47.750240000000005,1,0,0,0,1,1,1,6.0,4.0,0.0,2.0,0.0,3.0,2.0,17.0,1
21st Street Farmers Market,SW 21st and Oakley,Topeka,Shawnee,Kansas,66604,-95.714516,39.028183,1,0,0,1,0,0,1,5.0,3.0,2.0,1.0,2.0,0.0,1.0,14.0,1
22nd and Tasker Farmers' Market,22nd and Tasker Streets,Philadelphia,Philadelphia,Pennsylvania,19146,-75.18129,39.932259,1,1,0,1,1,1,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3
22nd Annual Highlands Business Partnership Farmers Market,71 Waterwitch Avenue,Highlands,Monmouth,New Jersey,7732,-73.994354,40.404839,1,1,1,1,1,1,1,5.0,2.0,2.0,2.0,2.0,1.0,0.0,14.0,4
25th Street Market - North Logan at the Library Summer 2016,475 East 2500 North,North Logan,Cache,Utah,84341,-111.8206,41.778244,1,0,0,0,0,1,1,5.0,2.0,2.0,1.0,2.0,0.0,1.0,13.0,0
26th and Allegheny,26th Street and W Allegheny Avenue,Philadelphia,Philadelphia,Pennsylvania,19129,-75.172287,40.004093,1,1,0,1,1,1,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3
29th and Wharton Farmers' Market,29th and Wharton Streets,Philadelphia,Philadelphia,Pennsylvania,19146,-75.19203900000001,39.937302,1,1,0,1,1,1,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3
2nd Street Farmers' Market,194 second street,Amherst,Amherst,Virginia,24521,-79.048576,37.583309,1,0,0,0,0,1,1,6.0,3.0,3.0,1.0,3.0,2.0,2.0,20.0,0
2nd Street Market - Five Rivers MetroPark,600 E. 2nd Street,Dayton,Montgomery,Ohio,45402,-84.18103,39.762592,1,0,1,0,1,1,1,8.0,5.0,3.0,2.0,2.0,2.0,2.0,24.0,2
3 French Hens French Country Market,123 W. Illinois ave. ,Morris,Grundy,Illinois,60450,-88.425186,41.356384000000006,1,0,0,0,0,1,1,4.0,4.0,3.0,2.0,3.0,2.0,2.0,20.0,0
30A Farmers' Market,Rosmary Beach Town Center,Rosemary Beach,Walton,Florida,32461,-86.00275400000001,30.279016,1,0,0,0,0,0,1,8.0,4.0,3.0,2.0,3.0,3.0,2.0,25.0,0
31 & Main Farmers Market at Campus Town,1928 Pennington Road,Ewing,Mercer,New Jersey,8618,-74.783287,40.268253,1,1,1,1,0,1,1,3.0,3.0,1.0,2.0,2.0,1.0,1.0,13.0,3
32nd Street/Waverly Farmers Market,E. 32nd & Barclay Street,Baltimore,Baltimore,Maryland,21218,-76.611,39.327202,1,1,1,1,1,1,1,4.0,3.0,0.0,2.0,2.0,2.0,1.0,14.0,4
33rd and Diamond Farmers' Market,N 33rd and Diamond Streets,Philadelphia,Philadelphia,Pennsylvania,19121,-75.187164,39.988803999999995,1,1,0,1,1,1,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3
38th & Meridian Farmer's Market ,3808 N Meridian St,Indianapolis,Marion,Indiana,46208,-86.157547,39.825558,1,0,1,0,1,0,1,3.0,5.0,2.0,2.0,1.0,3.0,2.0,18.0,2
39 North Marketplace,Downtown Sparks Victorian Ave,Sparks,Washoe,Nevada,89431,-119.75496000000001,39.534775,1,1,1,1,0,1,1,6.0,5.0,3.0,1.0,2.0,0.0,1.0,18.0,3
441 Ministries Farm Stand,441 Parsells Avenue,Rochester,Monroe,New York,14609,-77.56660500000001,43.165833,1,1,0,0,1,0,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2
4th and Lehigh Farmers' Market,N 4th Street and W. Lehigh Avenue,Philadelphia,Philadelphia,Pennsylvania,19133,-75.138657,39.991749,1,1,0,1,1,1,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3
52nd and Haverford Farmers' Market,N 52nd Street and Haverford Avenue,Philadelphia,Philadelphia,Pennsylvania,19139,-75.22449499999999,39.965053999999995,1,1,0,1,1,1,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3
57th Street Greenmarket,W 57 St. & 9 Ave,New York,New York,New York,10019,-73.98584,40.768158,1,1,1,1,1,1,1,2.0,1.0,0.0,2.0,0.0,2.0,0.0,7.0,4
58th and Chester Farmers' Market,58th Street and Chester Avenue,Philadelphia,Philadelphia,Pennsylvania,19143,-75.228302,39.935722,1,1,0,1,1,1,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3
61st Street Farmers Market,6100 S. Blackstone Ave,Chicago,Cook,Illinois,60637,-87.590591,41.784081,1,0,0,0,1,1,1,5.0,5.0,1.0,2.0,1.0,1.0,2.0,17.0,1
79th Street Greenmarket,Columbus - W 78 & 81 Sts.,New York,New York,New York,10024,-73.9757,40.781799,1,1,1,1,1,1,1,3.0,4.0,0.0,2.0,2.0,3.0,1.0,15.0,4
82nd Street Greenmarket,E 82nd St. - 1st & York Ave,New York,New York,New York,10028,-73.950089,40.77375,1,1,1,1,1,1,1,2.0,2.0,0.0,1.0,0.0,3.0,0.0,8.0,4
84 west farmers market (Dothan),,Dothan,Houston,Alabama,,-85.44994399999999,31.232252000000003,1,0,0,1,0,0,1,2.0,3.0,2.0,0.0,0.0,0.0,1.0,8.0,1
8th Avenue City Farmers Market,8th Ave & 2nd St SE,Cedar Rapids,Linn,Iowa,52401,-91.662651,41.972836,1,1,0,1,0,0,1,2.0,3.0,2.0,2.0,4.0,2.0,1.0,16.0,2
92nd Street Greenmarket,1st Ave - E 92nd & 93 Sts.,New York,New York,New York,10128,-73.94641899999999,40.78093,1,1,1,1,1,1,1,2.0,1.0,0.0,0.0,0.0,2.0,0.0,5.0,4
97th Street Greenmarket,W 97 St. & Columbus,New York,New York,New York,10025,-73.96701,40.79356,1,1,1,1,1,1,1,3.0,2.0,0.0,2.0,0.0,2.0,0.0,9.0,4
9th and Grand Farmers Market,304 West Grand Avenue,Salina,Saline,Kansas,67401,-97.61174799999999,38.852837,1,0,0,1,1,1,1,4.0,3.0,1.0,2.0,2.0,2.0,1.0,15.0,2
9th West Farmers Market/People's Market ,1060 South 900 West,SALT LAKE CITY,Salt Lake,Utah,84110,-111.91953000000001,40.747017,1,0,0,0,1,1,1,5.0,4.0,3.0,1.0,2.0,0.0,2.0,17.0,1
A + Organic Farmers Market,Lee Rd. Farm,Boynton Beach ,Palm Beach,Florida,33473,-80.22105400000001,26.489351,1,0,0,0,0,1,1,7.0,3.0,0.0,2.0,0.0,3.0,1.0,16.0,0
A Growers' Market,229 Lake Ella Drive,Tallahassee ,Leon,Florida,32303,-84.279877,30.461952,1,1,0,1,1,0,1,4.0,3.0,1.0,2.0,1.0,0.0,1.0,12.0,3
Abbeville Farmers Market,118 Trinity Street at Livery Stable,Abbeville,Abbeville,South Carolina,29620,-82.380241,34.177429,1,0,0,1,0,0,1,3.0,2.0,2.0,1.0,1.0,1.0,0.0,10.0,1
Abbotsford Farmers Market,1011 East Spruce St.,Abbotsford,Clark,Wisconsin,54405,-90.307144,44.945663,0,1,0,1,0,0,1,2.0,4.0,1.0,0.0,4.0,0.0,0.0,11.0,2
Aberdeen Sunday Market,Broadway between Heron & State St,Aberdeen,Grays Harbor,Washington,98520,-123.81641,46.972972999999996,1,1,0,1,1,1,1,2.0,4.0,3.0,1.0,3.0,1.0,3.0,17.0,3
Abingdon Farmers Market,Corner of Remsburg Drive & Cummings St,Abingdon ,Washington,Virginia,24210,-81.977097,36.708935,1,0,0,1,1,1,1,8.0,5.0,3.0,2.0,3.0,3.0,3.0,27.0,2
Abingdon Square Greenmarket,W12 St. & 8th Ave,New York,New York,New York,10014,-74.00528,40.737179,1,1,1,1,1,1,1,3.0,3.0,0.0,2.0,1.0,3.0,0.0,12.0,4
Abington,362 Plymouth Street,Abington,Plymouth,Massachusetts,2351,-70.936897,42.118999,0,0,0,0,0,1,1,3.0,3.0,1.0,1.0,1.0,0.0,0.0,9.0,0
Abita Springs Art & Farmers Market ,22049 Main Street,Abita Springs ,St. Tammany,Louisiana,70420,-90.03891,30.479065000000002,1,0,0,0,0,1,1,5.0,4.0,2.0,2.0,3.0,2.0,2.0,20.0,0
ABQ Uptown Growers' Market,NE parking lot of ABQ Uptown shopping center,Albququerque,Bernalillo,New Mexico,,-106.56584,35.103989,1,1,0,1,1,1,1,2.0,2.0,1.0,2.0,0.0,0.0,0.0,7.0,3
Acme Ranch Truck Patch,RR1 Box 146,Birch Tree,Shannon,Missouri,65438,-91.492638,36.991165,0,0,0,0,0,1,1,3.0,0.0,1.0,0.0,3.0,0.0,0.0,7.0,0
Acreage Green Market,6701 140th Ave. North,Loxahatchee,Palm Beach,Florida,33470,-80.263351,26.775639,1,0,0,0,0,1,1,7.0,5.0,3.0,2.0,3.0,0.0,2.0,22.0,0
Acton-Boxborough Farmers Market,1 Pearl St,Acton,Middlesex,Massachusetts,1720,-71.474152,42.475182000000004,0,1,0,1,1,1,1,3.0,3.0,2.0,2.0,3.0,3.0,1.0,17.0,3
Acushnet Farmers Market,186 Leonard Street,Acushnet,Bristol,Massachusetts,2743,-70.900856,41.720051,1,1,0,1,1,1,1,3.0,4.0,3.0,2.0,2.0,2.0,2.0,18.0,3
Ada Farmer's Market,12th Street and Townsend,Ada,Pontotoc,Oklahoma,74820,-96.67987099999999,34.773590000000006,0,0,0,0,0,0,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0
Ada Farmers' Market,7239 Thornapple River Dr.,Ada,Kent,Michigan,49301,-85.488968,42.955372,1,0,0,0,1,1,1,4.0,4.0,2.0,2.0,2.0,3.0,1.0,18.0,1
Adairsville Farmers' Market,7446 Ga 140,Adairsville,Bartow,Georgia,30103,-84.929565,34.375729,0,0,0,0,0,1,1,2.0,3.0,1.0,0.0,1.0,0.0,0.0,7.0,0
Adams County Farmer's Market,110 W. Main St.,West Union,Adams,Ohio,45693,-83.54645500000001,38.795338,1,0,0,1,1,0,1,3.0,3.0,1.0,0.0,2.0,1.0,2.0,12.0,2
Adams County Farmers Market,103 Carlisle Street,Gettysburg,Adams,Pennsylvania,17325,-77.234146,39.830597,1,1,0,1,1,0,1,3.0,4.0,2.0,2.0,1.0,2.0,3.0,17.0,3
Adams County Farmers' Market Association,103 Carlisle Street,Gettysburg,Adams,Pennsylvania,17325,-77.234146,39.830597,1,1,0,1,1,1,1,4.0,4.0,0.0,2.0,1.0,1.0,3.0,15.0,3
Adams Farmers' & Artisans' Market,Adams Visitors Center  3 Hoosac St,Adams,Berkshire,Massachusetts,1220,-73.118004,42.624493,0,1,0,1,0,0,1,1.0,3.0,3.0,1.0,1.0,0.0,0.0,9.0,2
Adams Morgan Farmer Market,"18th Street and Columbia Rd, NW","Washington, DC",District of Columbia,District of Columbia,20009,-77.042671,38.92268,1,1,1,1,1,1,1,4.0,2.0,0.0,1.0,2.0,2.0,0.0,11.0,4
Adams-Ricci Farmers Market,100 East Penn Drive,Enola,Cumberland,Pennsylvania,17025,-76.93740799999999,40.273998,1,1,0,1,0,0,1,4.0,3.0,2.0,2.0,2.0,2.0,3.0,18.0,2
Adrian Farmers Market,115 Toledo Street,Adrian ,Lenawee,Michigan,49221,-84.034592,41.900169,1,1,0,1,1,0,1,6.0,4.0,2.0,1.0,2.0,2.0,0.0,17.0,3
Aenon Baptist Church Farm Stand,175 Genesee Street,Rochester,Monroe,New York,14611,-77.636078,43.146603000000006,1,1,0,0,1,0,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2
Afton Village Farmers Market,5401 Village Dr,Concord,Cabarrus,North Carolina,28027,-80.670174,35.41404,1,1,0,0,0,1,1,3.0,3.0,0.0,2.0,2.0,2.0,0.0,12.0,1
AG Farmers' Market,108 Indian Head Road,Toms River,Ocean,New Jersey,8753,-74.207481,39.992508,1,1,1,1,1,1,1,3.0,4.0,3.0,0.0,2.0,0.0,2.0,14.0,4
Agricenter International Farmer's Market,7777 Walnut Grove Rd,Memphis,Shelby,Tennessee,38120,-89.801735,35.127453,1,1,1,1,0,1,1,4.0,4.0,2.0,1.0,1.0,3.0,2.0,17.0,3
Agritopia Farm Stand,3000 E. Ray Road (Higley & Ray),Gilbert,Maricopa,Arizona,85233,-111.72621000000001,33.321659000000004,1,0,0,0,0,1,1,5.0,2.0,0.0,2.0,0.0,2.0,1.0,12.0,0
Ahwatukee Farmers Market,4700 E. Warner Rd,Phoenix,Maricopa,Arizona,,-111.98324,33.331329,1,1,1,1,1,0,1,2.0,3.0,2.0,2.0,3.0,3.0,2.0,17.0,4
Aiken County Farmers Market,897 Richland Avenue East,Aiken,Aiken,South Carolina,29801,-81.708496,33.556881,0,0,0,0,0,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
Airport Farmers and Flea Market,17375 Spring Hill Dr,Brooksville,Hernando,Florida,34604,-82.44111600000001,28.481140000000003,1,0,0,0,0,0,1,4.0,4.0,3.0,1.0,3.0,1.0,2.0,18.0,0
Akers of Strawberries,1054 Melton Road,Baker,Okaloosa,Florida,32531,-86.701279,30.798683,1,1,1,0,1,1,1,5.0,4.0,3.0,2.0,2.0,1.0,2.0,19.0,3
Alabama Gulf Coast Market,22250 Perdido Beach Boulevard,Gulf Shores,Baldwin,Alabama,36542,-87.65585300000001,30.250746000000003,1,0,0,1,0,0,1,3.0,3.0,1.0,1.0,0.0,0.0,0.0,8.0,1
Alachua County Farmers' Market,5920 NW 13th Street,Gainesville,Alachua,Florida,32653,-82.35251600000001,29.710665000000002,1,1,0,1,1,1,1,5.0,3.0,2.0,2.0,3.0,2.0,2.0,19.0,3
Alameda Farmers' Market,Haight and Webster St.,Alameda,Alameda,California,,-122.27676000000001,37.774246000000005,1,1,0,0,0,1,1,4.0,2.0,0.0,1.0,1.0,2.0,1.0,11.0,1
Alamo Farmers Market,Buckhorn Ranch Road,Alamo,Lincoln,Nevada,89001,-115.1435,37.33075,0,0,0,1,0,0,1,2.0,1.0,0.0,1.0,1.0,0.0,1.0,6.0,1
Alamo Heights Farmers Market,255 E Basse,San Antonio ,Bexar,Texas,78209,-98.481171,29.493258,1,0,0,0,0,0,1,4.0,5.0,2.0,2.0,0.0,2.0,2.0,17.0,0
Alamogordo Farmers' Market in Alameda Park,1987 White Sands Blvd (next to Toy Train Depot),Alamogordo ,Otero,New Mexico,88310,-105.96099,32.914097,1,0,1,1,1,1,1,4.0,2.0,3.0,1.0,2.0,0.0,1.0,13.0,3
Alamogordo Otero County Farmers' Market,401 Fairgrounds Rd,Alamogordo,Otero,New Mexico,,-105.9606,32.926491,0,0,0,0,0,1,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0
Alamosa Farmers Market,Corner of 6th Street and State Avenue's Municipal Parking Lot,Alamosa,Alamosa,Colorado,81101,-105.86523000000001,37.468361,1,0,1,1,1,1,1,4.0,3.0,2.0,2.0,2.0,1.0,1.0,15.0,3
Albany  Downtown Farmers Market,Corner of W. Broad Ave. & N. Jackson St.,Albany,Dougherty,Georgia,31702,-84.153664,31.576839,1,0,1,0,0,1,1,1.0,1.0,1.0,0.0,2.0,0.0,0.0,5.0,1
Albany Farmers' Market,4th Avenue & Ellsworth Street,Albany,Linn,Oregon,97321,-123.1061,44.634899,1,1,1,1,1,1,1,8.0,4.0,2.0,2.0,3.0,2.0,2.0,23.0,4
Albany IN Farmers Market,208 E. State Street,Albany,Delaware,Indiana,47320,-85.23583199999999,40.299191,1,1,1,1,1,0,1,3.0,3.0,2.0,2.0,2.0,1.0,1.0,14.0,4
Albemarle Farmers Market,340 Towncenter Lane,charlottesville,Albemarle,Virginia,22911,-78.443993,38.126179,1,0,0,0,0,0,1,4.0,3.0,2.0,1.0,3.0,2.0,2.0,17.0,0
Albert Lea Farmers Market,104 North Broadway,Albert Lea,Freeborn,Minnesota,,-93.368935,43.650894,1,1,1,1,1,1,1,3.0,4.0,2.0,1.0,3.0,0.0,0.0,13.0,4
Albion Farmer's Market,211 Market Place,Albion,Cass,Michigan,49224,-84.751572,42.243546,1,1,0,1,0,1,1,3.0,4.0,2.0,1.0,3.0,0.0,0.0,13.0,2
Albuquerque Downtown Growers' Market,800 Central Ave,Albuquerque ,Bernalillo,New Mexico,87102,-106.65688999999999,35.085972,1,1,0,1,1,1,1,8.0,4.0,3.0,3.0,3.0,1.0,2.0,24.0,3
Albuquerque Northeast Farmers' Market,6400 Wyoming Blvd,Albuquerque,Bernalillo,New Mexico,,-106.55762,35.1506,1,1,0,1,1,1,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3
Alcona Farmers Market,320 S. State Steet   (US23),Harrisville,Alcona,Michigan,48740,-83.297302,44.654701,0,0,0,0,0,1,1,1.0,2.0,2.0,0.0,0.0,2.0,0.0,7.0,0
Alderson Farmers Market ,Rt. 3  Main Street,Alderson ,Greenbrier,West Virginia,24910,-80.642021,37.725952,1,0,0,1,1,1,1,3.0,3.0,1.0,0.0,0.0,1.0,0.0,8.0,2
Aledo Farmers Market,128 Elm Street,Aledo,Parker,Texas,76008,-97.602554,32.696495,1,0,0,0,0,1,1,1.0,2.0,1.0,1.0,0.0,1.0,0.0,6.0,0
Alexander County Farmers Market,280 NC Hwy 16 South,Taylorsville ,Alexander,North Carolina,28681,-81.178123,35.919746,1,0,0,0,0,0,1,2.0,3.0,1.0,1.0,0.0,0.0,0.0,7.0,0
Alexandria Bay Farmers Market,Route 12,Alexandria Bay,Jefferson,New York,13607,-75.91570300000001,44.331402000000004,0,1,0,0,0,1,1,2.0,4.0,1.0,0.0,1.0,0.0,1.0,9.0,1
Alexandria Farmers Market,2727 Jackson St,Alexandria ,Rapides,Louisiana,71301,-92.46644599999999,31.294132,1,1,0,1,1,1,1,4.0,3.0,1.0,1.0,1.0,1.0,0.0,11.0,3
Alexandria Farmers Market,Broadway & Second Ave,Alexandria,Douglas,Minnesota,56308,-95.3759,45.890762,1,0,0,1,1,0,1,3.0,3.0,0.0,2.0,2.0,3.0,1.0,14.0,2
Alfred Farmers Market,Bandstand Main Street,Alfred,Allegany,New York,14802,-77.789505,42.253555,1,1,1,1,1,1,1,3.0,3.0,0.0,1.0,1.0,2.0,2.0,12.0,4
Alisal Certified Farmers' Market,632 East Alisal Street,Salinas,Monterey,California,93905,-121.63418,36.673321,1,1,1,1,1,1,1,3.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,4
All Locally Grown Produce,19051 Sw 147 Ave,Homestead,Miami-Dade,Florida,33187,-80.430382,25.507879,1,0,0,0,0,1,1,3.0,2.0,0.0,0.0,1.0,0.0,1.0,7.0,0
All Natural & Certified Organic Farmer Market (HOPE FARM),19833 Morris RD ,Harlingen ,Cameron,Texas,78552,-97.70472,26.155226000000003,1,1,0,0,1,1,1,5.0,3.0,0.0,2.0,2.0,1.0,2.0,15.0,2
All Saints' Farmers Market,1508 S. White Station,Memphis,Shelby,Tennessee,38117,-89.89048000000001,35.090458,1,0,0,0,0,0,1,4.0,3.0,1.0,1.0,1.0,0.0,0.0,10.0,0
Allamakee Farmers Market,705 Allamakee Street,Waukon,Allamakee,Iowa,52172,-91.47522,43.276278999999995,1,1,0,1,0,0,1,3.0,2.0,0.0,1.0,1.0,0.0,1.0,8.0,2
Allegan Farmers Market,Water Street & Cutler Street,Allegan,Allegan,Michigan,49010,-85.849655,42.529648,1,1,0,1,1,0,1,2.0,5.0,1.0,1.0,3.0,0.0,1.0,13.0,3
Alleghany Farmers Market,HWY 18 N,Sparta,Alleghany,North Carolina,28675,-81.122597,36.503002,1,0,0,0,0,1,1,3.0,3.0,2.0,2.0,2.0,2.0,0.0,14.0,0
Allen County Farmers' Market,Jefferson,IOLA,Allen,Kansas,66749,-95.400665,37.927425,1,0,0,1,1,1,1,2.0,3.0,2.0,1.0,2.0,2.0,1.0,13.0,2
Allen County Farmers' Market,807  N. State,Iola,Allen,Kansas,66749,-95.400665,37.927425,1,0,0,1,1,1,1,2.0,3.0,2.0,1.0,0.0,2.0,0.0,10.0,2
Allen Farmers Market,1629 E Kalamazoo,Lansing,Ingham,Michigan,48912,-84.526382,42.73024,1,1,0,1,1,1,1,5.0,2.0,1.0,2.0,0.0,1.0,2.0,13.0,3
Alliance Farmers' Market,Corner of E. Main St. and Mechanic Ave.,Alliance,Stark,Ohio,44601,-81.102402,40.9216,0,1,0,1,1,1,1,3.0,4.0,1.0,0.0,2.0,2.0,0.0,12.0,3
Alliance for the Arts GreenMarket,10091 McGregor Boulevard,Ft. Myers,Lee,Florida,33919,-81.891281,26.595209000000004,1,0,0,0,0,1,1,4.0,3.0,2.0,2.0,3.0,1.0,1.0,16.0,0
Allston Village Farmers Market,500 Cambridge St.,Boston,Suffolk,Massachusetts,2134,-71.13784,42.353382,0,1,0,0,1,1,1,2.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,2
Alma Farmers' Market,Pine & Downie Streets,Alma,Gratiot,Michigan,48801,-84.656982,43.380268,0,0,0,1,0,0,1,3.0,3.0,0.0,1.0,2.0,0.0,0.0,9.0,1
Aloha Community Farmers' Market,17675 SW Farmington Rd and SW Kinnaman Rd,Aloha,Washington,Oregon,97007,-122.85871999999999,45.480164,1,1,0,1,1,1,1,5.0,1.0,3.0,0.0,2.0,0.0,2.0,13.0,3
Alpena Farmers' Market,208 N 1st Ave.,Alpena ,Alpena,Michigan,49707,-83.431,45.061878,1,0,0,1,1,1,1,5.0,3.0,2.0,2.0,2.0,3.0,2.0,19.0,2
Alpha Nursery Farmers' Market,"12 Alpha Lane,",Cascade,Valley,Idaho,83611,-115.99799999999999,44.425098,1,0,0,0,0,1,1,3.0,2.0,0.0,1.0,2.0,0.0,0.0,8.0,0
Alsip Farmers Market,12521 S. Kostner Avenue,Alsip,Cook,Illinois,60803,-87.727806,41.664913,1,0,0,0,1,1,1,3.0,3.0,2.0,1.0,1.0,0.0,2.0,12.0,1
Altadena Farmers' Market,600 W. Palm Street,Altadena,Los Angeles,California,91001,-118.15813,34.200378,1,1,0,1,1,1,1,6.0,4.0,2.0,2.0,2.0,3.0,2.0,21.0,3
Altamont Farmer's Market,Main Street & Maple Avenue,Altamont,Albany,New York,12009,-74.032501,42.701302,0,1,0,1,0,0,1,3.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,2
Alton Farmers' and Artisans' Market,551 Landmarks Blvd.,Alton,Madison,Illinois,62002,-90.178093,38.888794,1,0,1,1,1,1,1,3.0,3.0,2.0,2.0,2.0,2.0,2.0,16.0,3
Altus Farmers Market,1116 North Main ST,Altus,Jackson,Oklahoma,73521,-99.333603,34.649101,0,0,1,0,0,0,1,1.0,0.0,2.0,0.0,0.0,1.0,0.0,4.0,1
Alum Rock Village Farmers' Market,57 North White Road,San Jose,Santa Clara,California,,-121.83328999999999,37.367771000000005,1,1,0,0,1,1,1,3.0,1.0,0.0,0.0,2.0,3.0,2.0,11.0,2
Amador Farmers' Market-- Jackson,Jackson Library/ True Value,Jackson,Amador,California,95642,-120.7741,38.348801,1,1,0,1,0,1,1,5.0,1.0,2.0,1.0,1.0,0.0,0.0,10.0,2
Amador Farmers' Market-- Pine Grove,Hwy 88 at Irishtown Rd.,Pine Grove,Amador,California,95665,-120.7741,38.348801,1,1,0,1,0,1,1,3.0,3.0,2.0,1.0,0.0,0.0,0.0,9.0,2
Amador Farmers' Market-- Sutter Creek,Eureka St. & Highway 49,Sutter Creek,Amador,California,95685,-120.7741,38.348801,1,1,0,1,0,1,1,3.0,3.0,0.0,1.0,2.0,0.0,0.0,9.0,2
